行为时间,view_duration,tp_video_view
2023-11-29 00:00:00,未知,40
2023-11-29 00:00:00,2,11
2023-11-29 00:00:00,1,7
2023-11-29 00:00:00,3,2
2023-11-29 00:00:00,0,4
2023-11-29 00:00:00,4,3
2023-11-29 00:00:00,6,0
2023-11-29 00:00:00,7,3
2023-11-29 00:00:00,8,2
2023-11-29 00:00:00,5,4
2023-11-29 00:00:00,9,1
2023-11-29 00:00:00,11,0
2023-11-29 00:00:00,12,2
2023-11-29 00:00:00,13,0
2023-11-29 00:00:00,10,0
2023-11-29 00:00:00,16,3
2023-11-29 00:00:00,17,1
2023-11-29 00:00:00,14,0
2023-11-29 00:00:00,18,2
2023-11-29 00:00:00,21,1
2023-11-29 00:00:00,19,0
2023-11-29 00:00:00,385,0
2023-11-29 00:00:00,387,1
2023-11-29 00:00:00,15,0
2023-11-29 00:00:00,384,0
2023-11-29 00:00:00,390,1
2023-11-29 00:00:00,316,1
2023-11-29 00:00:00,391,1
2023-11-29 00:00:00,394,0
2023-11-29 00:00:00,137,0
2023-11-29 00:00:00,163,0
2023-11-29 00:00:00,177,0
2023-11-29 00:00:00,180,0
2023-11-29 00:00:00,202,0
2023-11-29 00:00:00,24,1
2023-11-29 00:00:00,240,1
2023-11-29 00:00:00,321,0
2023-11-29 00:00:00,323,0
2023-11-29 00:00:00,336,0
2023-11-29 00:00:00,34,1
2023-11-29 00:00:00,355,0
2023-11-29 00:00:00,376,0
2023-11-29 00:00:00,378,0
2023-11-29 00:00:00,386,1
2023-11-29 00:00:00,50,1
2023-11-29 00:00:00,182,0
2023-11-29 00:00:00,184,1
2023-11-29 00:00:00,197,0
2023-11-29 00:00:00,199,0
2023-11-29 00:00:00,22,1
2023-11-29 00:00:00,232,0
2023-11-29 00:00:00,27,0
2023-11-29 00:00:00,271,0
2023-11-29 00:00:00,290,1
2023-11-29 00:00:00,309,1
2023-11-29 00:00:00,31,0
2023-11-29 00:00:00,312,1
2023-11-29 00:00:00,314,1
2023-11-29 00:00:00,315,1
2023-11-29 00:00:00,317,1
2023-11-29 00:00:00,319,1
2023-11-29 00:00:00,322,0
2023-11-29 00:00:00,335,0
2023-11-29 00:00:00,340,0
2023-11-29 00:00:00,343,0
2023-11-29 00:00:00,348,0
2023-11-29 00:00:00,357,0
2023-11-29 00:00:00,358,0
2023-11-29 00:00:00,36,0
2023-11-29 00:00:00,362,0
2023-11-29 00:00:00,377,0
2023-11-29 00:00:00,379,0
2023-11-29 00:00:00,380,0
2023-11-29 00:00:00,388,0
2023-11-29 00:00:00,389,1
2023-11-29 00:00:00,392,0
2023-11-29 00:00:00,432,1
2023-11-29 00:00:00,58,0
2023-11-29 00:00:00,61,1
2023-11-29 00:00:00,64,0
2023-11-29 00:00:00,151,0
2023-11-29 00:00:00,162,0
2023-11-29 00:00:00,170,0
2023-11-29 00:00:00,186,0
2023-11-29 00:00:00,198,0
2023-11-29 00:00:00,20,0
2023-11-29 00:00:00,200,0
2023-11-29 00:00:00,201,0
2023-11-29 00:00:00,203,0
2023-11-29 00:00:00,204,0
2023-11-29 00:00:00,205,1
2023-11-29 00:00:00,220,0
2023-11-29 00:00:00,229,0
2023-11-29 00:00:00,23,0
2023-11-29 00:00:00,241,0
2023-11-29 00:00:00,25,0
2023-11-29 00:00:00,251,0
2023-11-29 00:00:00,28,0
2023-11-29 00:00:00,281,0
2023-11-29 00:00:00,282,0
2023-11-29 00:00:00,292,0
2023-11-29 00:00:00,294,0
2023-11-29 00:00:00,30,0
2023-11-29 00:00:00,308,1
2023-11-29 00:00:00,310,1
2023-11-29 00:00:00,311,0
2023-11-29 00:00:00,318,1
2023-11-29 00:00:00,324,0
2023-11-29 00:00:00,325,0
2023-11-29 00:00:00,327,0
2023-11-29 00:00:00,328,0
2023-11-29 00:00:00,331,0
2023-11-29 00:00:00,338,0
2023-11-29 00:00:00,341,0
2023-11-29 00:00:00,347,0
2023-11-29 00:00:00,356,0
2023-11-29 00:00:00,361,0
2023-11-29 00:00:00,363,0
2023-11-29 00:00:00,369,0
2023-11-29 00:00:00,37,0
2023-11-29 00:00:00,371,0
2023-11-29 00:00:00,373,1
2023-11-29 00:00:00,381,0
2023-11-29 00:00:00,382,0
2023-11-29 00:00:00,383,0
2023-11-29 00:00:00,393,0
2023-11-29 00:00:00,395,0
2023-11-29 00:00:00,40,1
2023-11-29 00:00:00,400,1
2023-11-29 00:00:00,402,0
2023-11-29 00:00:00,408,0
2023-11-29 00:00:00,428,0
2023-11-29 00:00:00,44,0
2023-11-29 00:00:00,457,0
2023-11-29 00:00:00,461,1
2023-11-29 00:00:00,466,0
2023-11-29 00:00:00,59,1
2023-11-29 00:00:00,60,0
2023-11-29 00:00:00,79,0
2023-11-29 00:00:00,82,0
2023-11-29 00:00:00,1.819,0
2023-11-29 00:00:00,102,0
2023-11-29 00:00:00,103,0
2023-11-29 00:00:00,116,0
2023-11-29 00:00:00,120,0
2023-11-29 00:00:00,122,0
2023-11-29 00:00:00,124,0
2023-11-29 00:00:00,130,0
2023-11-29 00:00:00,1368,0
2023-11-29 00:00:00,146,0
2023-11-29 00:00:00,147,0
2023-11-29 00:00:00,149,0
2023-11-29 00:00:00,150,0
2023-11-29 00:00:00,155,0
2023-11-29 00:00:00,158,0
2023-11-29 00:00:00,159,0
2023-11-29 00:00:00,160,0
2023-11-29 00:00:00,168,0
2023-11-29 00:00:00,172,0
2023-11-29 00:00:00,181,0
2023-11-29 00:00:00,183,0
